今回レース,馬名,年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手,斤量,馬体重,タイム,着差,horse_id,日付,race_id
1,ロージーキャンドル,2026年5月26日,金沢,加賀医王山賞,ダ1500,良,7.0,,3,和田 陽希,,471,1:40.2,,,,
1,マルモズイルバア,2026年5月26日,金沢,加賀医王山賞,ダ1500,良,7.0,,6,加藤 翔馬,,409,1:41.6,,,,
2,ゼンノトヨタマヒメ,2026年3月4日,川崎,アクアF賞,ダ1400,不良,11.0,,8,笹川 翼,,439,1:34.4,,,,
2,ナブッコ,2026年5月20日,名古,メロン賞,ダ1500,良,11.0,,4,渡邊 竜也,,492,1:36.5,,,,
2,ローズカリス,2026年7月4日,小倉,雲仙特別,ダ1000,不良,12.0,2.0,1,田口 貫太,,424,56.7,,,,
2,ローズカリス,2026年4月5日,阪神,バイオレット,ダ1400,重,12.0,11.0,10,田口 貫太,,422,1:23.9,,,,
2,ローズカリス,2026年3月7日,阪神,Fレビュー,芝1400,良,18.0,11.0,16,田口 貫太,,428,1:22.0,,,,
2,ローズカリス,2025年12月14日,阪神,阪神JF,芝1600,良,18.0,17.0,13,田口 貫太,,430,1:34.0,,,,
2,ローズカリス,2025年11月27日,園田,兵庫JGP,ダ1400,稍重,12.0,,5,田口 貫太,,433,1:31.1,,,,
2,ローズカリス,2025年10月18日,京都,なでしこ賞,ダ1400,稍重,7.0,4.0,1,田口 貫太,,434,1:24.7,,,,
2,ローズカリス,2025年9月27日,阪神,ヤマボウシ賞,ダ1400,良,8.0,5.0,2,田口 貫太,,438,1:25.5,,,,
2,ローズカリス,2025年7月20日,小倉,2歳未勝利,ダ1000,稍重,11.0,3.0,1,田口 貫太,,434,58.4,,,,
2,ローズカリス,2025年7月5日,小倉,2歳新馬,芝1200,良,8.0,3.0,4,田口 貫太,,434,1:10.7,,,,
4,フェブリノ,2026年5月26日,浦和,Tトップ特別,ダ1400,稍重,11.0,,4,和田 譲治,,396,1:30.9,,,,
4,フェブリノ,2026年1月24日,小倉,萌黄賞,芝1200,良,12.0,11.0,7,松若 風馬,,400,1:08.4,,,,
5,キラーアビリティ,2025年2月22日,サウ,ネオムターフ,芝2100,良,10.0,,10,O.マーフィー,,計不,2:09.1,,,,
5,キラーアビリティ,2024年11月15日,巴,バーレーンT,芝2000,良,12.0,,8,O.マーフィー,,計不,2:04.4,,,,
5,キラーアビリティ,2024年9月22日,中山,オールカマー,芝2200,良,15.0,11.0,10,団野 大成,,482,2:12.4,,,,
