date,race,race_id,開催地,bet_type,勝負ランク,推奨券種,購入対象,prediction,result,hit,payout,investment,profit,roi,source,投資判定,本命オッズ,期待値,能力差スコア,レース信頼度スコア,AI信頼度スコア
2026-06-25,門別01R,202630062501,門別,本命,B,ワイド,0,ブライトホウショウ,1着:7,1,700,100,600,700.0,nar,見送り,7.0,102,45.0,53.7,57.1
2026-06-25,門別01R,202630062501,門別,ワイド,B,ワイド,1,ブライトホウショウ－ニシノエンデヴァー｜ブライトホウショウ－ニシノエンデヴァー｜ブライトホウショウ－ツワ,3-7 / 6-7 / 3-6,0,0,300,-300,0.0,nar,見送り,7.0,102,45.0,53.7,57.1
2026-06-25,門別01R,202630062501,門別,馬連,B,ワイド,0,ブライトホウショウ－ニシノエンデヴァー｜ブライトホウショウ－ニシノエンデヴァー,3-7,0,0,200,-200,0.0,nar,見送り,7.0,102,45.0,53.7,57.1
2026-06-25,門別01R,202630062501,門別,三連複,B,ワイド,0,ブライトホウショウ－ニシノエンデヴァー－ニシノエンデヴァー｜ブライトホウショウ－ニシノエンデヴァー－ツワ｜ブライトホウショウ－ニシノエンデヴァー－ツワ｜ブライトホウショウ－ニシノエンデヴァー－オセロ｜ブライトホウショウ－ニシノエンデヴァー－オセロ｜ブライトホウショウ－ツワ－オセロ,3-6-7,0,0,600,-600,0.0,nar,見送り,7.0,102,45.0,53.7,57.1
2026-06-25,門別01R,202630062501,門別,三連単,B,ワイド,0,ブライトホウショウ－オセロ－ツワ,7-3-6,0,0,100,-100,0.0,nar,見送り,7.0,102,45.0,53.7,57.1
2026-07-04,函館01R,202602010701,函館,本命,C,ワイド,0,アルテクィーン,1着:7,0,0,100,-100,0.0,jra,,,,,,
2026-07-04,函館01R,202602010701,函館,ワイド,C,ワイド,1,アルテクィーン－テイクケア｜アルテクィーン－アズライトティアラ｜アルテクィーン－トーセンルルド,2-7 / 5-7 / 2-5,1,320,300,20,106.7,jra,,,,,,
2026-07-04,函館01R,202602010701,函館,馬連,C,ワイド,0,アルテクィーン－アズライトティアラ｜アルテクィーン－テイクケア,2-7,0,0,200,-200,0.0,jra,,,,,,
2026-07-04,函館01R,202602010701,函館,三連複,C,ワイド,0,アルテクィーン－テイクケア－アズライトティアラ｜アルテクィーン－テイクケア－トーセンルルド｜アルテクィーン－アズライトティアラ－トーセンルルド｜アルテクィーン－テイクケア－ヌーンベルク｜アルテクィーン－アズライトティアラ－ヌーンベルク｜アルテクィーン－トーセンルルド－ヌーンベルク,2-5-7,0,0,600,-600,0.0,jra,,,,,,
2026-07-04,函館01R,202602010701,函館,三連単,C,ワイド,0,アルテクィーン－テイクケア－アズライトティアラ,7-2-5,0,0,100,-100,0.0,jra,,,,,,
2026-07-04,函館02R,202602010702,函館,本命,C,ワイド,0,トリニタリオ,1着:16,0,0,100,-100,0.0,jra,,,,,,
2026-07-04,函館02R,202602010702,函館,ワイド,C,ワイド,1,トリニタリオ－ヒメヒオウギ｜トリニタリオ－デイズインザサン｜トリニタリオ－ニシノマルガリート,3-16 / 5-16 / 3-5,1,420,300,120,140.0,jra,,,,,,
