race_id,ARERU_SIM,TOP3_POP_SUM,HOLE_IN_TOP3,推奨券種
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,0.0,10.0,0,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,,21.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,0.0,12.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,,12.0,0,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,2.0,25.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,,31.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,0.0,9.0,0,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,,34.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,,41.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,,123.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,0.0,30.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0110202602060420260712%2F94,0.0,40.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,201.0,0,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,202.0,0,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,205.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,201.0,0,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,206.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,208.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,204.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,203.0,0,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070120260704/21,,202.0,0,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,,29.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,6.0,12.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,,15.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,31.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,,36.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,21.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,,12.0,0,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,11.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,,44.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,,42.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,22.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,19.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,,42.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,26.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,25.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070220260704/D6,0.0,37.0,1,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070320260704/8B,0.0,3.0,0,単勝・馬連候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070320260704/8B,,14.0,1,穴ワイド・3連複候補
https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1002202601070320260704/8B,2.0,17.0,1,単勝・馬連候補
