1着点,2着点,3着点,5着内点,10着内点,穴補正,近走型,学習レース,学習3着内,学習複勝率
30,25,10,5,0,0,2,90,50,55.55555555555556
30,25,10,5,3,0,2,90,50,55.55555555555556
30,25,10,10,3,0,0,90,50,55.55555555555556
30,25,10,10,5,0,0,90,50,55.55555555555556
20,20,10,15,0,0,1,90,49,54.44444444444444
30,25,10,5,3,0,0,90,49,54.44444444444444
30,25,10,15,0,0,0,90,49,54.44444444444444
30,25,15,15,5,0,1,90,49,54.44444444444444
30,25,20,5,5,0,1,90,49,54.44444444444444
40,25,10,5,0,0,2,90,49,54.44444444444444
40,25,10,10,3,0,0,90,49,54.44444444444444
20,15,10,5,0,0,1,90,48,53.333333333333336
20,15,10,5,3,0,0,90,48,53.333333333333336
20,15,10,10,3,0,1,90,48,53.333333333333336
20,20,10,10,0,0,2,90,48,53.333333333333336
20,20,10,15,3,0,1,90,48,53.333333333333336
20,20,15,15,5,0,2,90,48,53.333333333333336
20,25,10,10,3,0,0,90,48,53.333333333333336
30,20,10,5,3,0,0,90,48,53.333333333333336
30,20,10,5,5,0,0,90,48,53.333333333333336
30,20,10,5,5,0,1,90,48,53.333333333333336
30,20,10,10,3,0,3,90,48,53.333333333333336
30,20,10,15,5,0,2,90,48,53.333333333333336
30,20,15,15,3,0,3,90,48,53.333333333333336
30,25,10,5,0,0,3,90,48,53.333333333333336
30,25,10,5,3,0,1,90,48,53.333333333333336
30,25,10,5,3,0,3,90,48,53.333333333333336
30,25,10,10,0,0,0,90,48,53.333333333333336
30,25,10,10,0,0,1,90,48,53.333333333333336
30,25,10,10,3,0,3,90,48,53.333333333333336
30,25,10,15,3,0,3,90,48,53.333333333333336
30,25,15,5,3,0,3,90,48,53.333333333333336
30,25,15,5,5,0,2,90,48,53.333333333333336
30,25,15,10,3,0,3,90,48,53.333333333333336
30,25,15,10,5,0,3,90,48,53.333333333333336
30,25,15,15,5,0,0,90,48,53.333333333333336
30,25,20,5,3,0,1,90,48,53.333333333333336
40,25,10,5,0,0,3,90,48,53.333333333333336
40,25,10,5,3,0,2,90,48,53.333333333333336
40,25,10,5,3,0,3,90,48,53.333333333333336
40,25,10,10,5,0,0,90,48,53.333333333333336
40,25,15,5,5,0,2,90,48,53.333333333333336
20,15,10,5,0,0,0,90,47,52.22222222222223
20,15,10,5,3,0,2,90,47,52.22222222222223
20,15,10,5,3,0,3,90,47,52.22222222222223
20,15,10,5,5,0,0,90,47,52.22222222222223
20,15,10,5,5,0,3,90,47,52.22222222222223
20,15,10,10,0,0,0,90,47,52.22222222222223
20,15,10,10,0,0,1,90,47,52.22222222222223
20,15,10,10,0,0,3,90,47,52.22222222222223
20,15,10,10,3,0,2,90,47,52.22222222222223
20,15,10,10,5,0,0,90,47,52.22222222222223
20,20,10,10,0,0,3,90,47,52.22222222222223
20,20,10,10,3,0,2,90,47,52.22222222222223
20,20,10,10,5,0,2,90,47,52.22222222222223
20,20,10,15,5,0,1,90,47,52.22222222222223
20,20,15,15,0,0,3,90,47,52.22222222222223
20,20,15,15,3,0,0,90,47,52.22222222222223
20,20,15,15,3,0,3,90,47,52.22222222222223
20,20,15,15,5,0,3,90,47,52.22222222222223
20,25,10,10,0,0,0,90,47,52.22222222222223
20,25,10,15,0,0,3,90,47,52.22222222222223
30,15,10,10,5,0,0,90,47,52.22222222222223
30,20,10,5,0,0,3,90,47,52.22222222222223
30,20,10,5,3,0,2,90,47,52.22222222222223
30,20,10,5,3,0,3,90,47,52.22222222222223
30,20,10,5,5,0,2,90,47,52.22222222222223
30,20,10,5,5,0,3,90,47,52.22222222222223
30,20,10,10,5,0,2,90,47,52.22222222222223
30,20,10,15,0,0,2,90,47,52.22222222222223
30,20,10,15,3,0,2,90,47,52.22222222222223
30,20,15,5,5,0,2,90,47,52.22222222222223
30,20,20,5,5,0,1,90,47,52.22222222222223
30,25,10,5,0,0,0,90,47,52.22222222222223
30,25,10,5,0,0,1,90,47,52.22222222222223
30,25,10,5,5,0,0,90,47,52.22222222222223
30,25,10,5,5,0,2,90,47,52.22222222222223
30,25,10,5,5,0,3,90,47,52.22222222222223
30,25,10,10,0,0,2,90,47,52.22222222222223
30,25,10,10,0,0,3,90,47,52.22222222222223
30,25,10,10,5,0,2,90,47,52.22222222222223
30,25,10,10,5,0,3,90,47,52.22222222222223
30,25,10,15,0,0,1,90,47,52.22222222222223
