今回レース,馬名,年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手,斤量,馬体重,タイム,着差,horse_id,race_id,日付
4,ゴールデンアイル,2025年7月30日,門別,ホクレンパールライス(C3),ダ1000,,0,,,及川烈,54.0,計不,,,2021101144,202630071604,2025-07-30
8,オールスパイス,2026年5月21日,門別,グランシャリオドリー(C3),ダ1000,良,0,,,黒澤愛斗,55.0,482(+2),,,2022101519,202630071608,2026-05-21
9,ゼファーバローズ,2026年5月21日,門別,グランシャリオドリー(C3),ダ1000,良,0,,,岩橋勇二,57.0,490(+4),,,2020103777,202630071609,2026-05-21
9,エスカルチャ,2025年12月14日,水沢,ビッグレッドファーム(C1),ダ1400,不,0,,,塚本涼人,56.0,計不,,,2021101673,202630071609,2025-12-14
10,ブッシュドノエル,2026年5月21日,門別,ステラヴェローチェ賞(C3),ダ1700,良,0,,,藤田凌駕,53.0,428(+4),,,2018105013,202630071610,2026-05-21
10,マジックライン,2026年5月21日,門別,ステラヴェローチェ賞(C3),ダ1700,良,0,,,岩橋勇二,57.0,502(-2),,,2021106966,202630071610,2026-05-21
10,ドクターストップ,2025年7月30日,門別,グランシャリオドリー(C3),ダ1200,,0,,,服部茂史,55.0,計不,,,2022105608,202630071610,2025-07-30
10,カムイノウタゲ,2026年5月21日,門別,ステラヴェローチェ賞(C3),ダ1700,良,0,,,黒澤愛斗,57.0,478(-2),,,2022106492,202630071610,2026-05-21
10,レーザーベルン,2025年7月30日,門別,JRA認定競走アタッ(未勝利)(2歳),ダ1700,,0,,,落合玄太,55.0,計不,,,2023101746,202630071610,2025-07-30
10,レッドコート,2026年5月21日,門別,ステラヴェローチェ賞(C3),ダ1700,良,0,,,阿岸潤一,57.0,482(-6),,,2021102678,202630071610,2026-05-21
10,ユニコーンホエール,2025年7月30日,門別,ホクレンパールライス(C3),ダ1000,,0,,,松井伸也,57.0,計不,,,2022102517,202630071610,2025-07-30
11,ピンクヴェノム,2025年7月30日,門別,ホクレン玉ねぎ「真白(A1),ダ1200,,0,,,黒澤愛斗,53.0,計不,,,2021101189,202630071611,2025-07-30
12,スターオブフェザー,2025年7月30日,門別,JRA認定競走アタッ(未勝利)(2歳),ダ1700,,0,,,石川倭,55.0,計不,,,2023100822,202630071612,2025-07-30
1,ジャスパーロマン,2026年6月24日,門別,JRA認定競走フレッ(新馬)(2歳),ダ1000,良,10,10,10,松井伸也,55,438(0),1:09.8,7.0,2024104394,202630071601,2026-06-24
