race_id,日付,レース,馬名,実着順,horse_id,馬番,着順1,人気1,着順2,人気2,着順3,人気3,着順4,人気4,着順5,人気5
202630071601,2026-07-16,1,ジャスパーロマン,12,2024104394,1,10,10,,,,,,,,
202630071601,2026-07-16,1,ハッピーアフリート,4,2024101495,2,6,6,7,10,,,,,,
202630071601,2026-07-16,1,フェリンヴァラー,6,2024101042,3,5,9,,,,,,,,
202630071601,2026-07-16,1,リュウノソイジャー,8,2024102136,4,除,,7,6,,,,,,
202630071601,2026-07-16,1,ライトビーンズ,3,2024104266,5,8,6,4,6,4,6,6,6,,
202630071601,2026-07-16,1,リコーツェッペリン,7,2024101256,6,6,6,6,7,,,,,,
202630071601,2026-07-16,1,コンチワッチ,2,2024109058,7,7,7,4,10,,,,,,
202630071601,2026-07-16,1,ドリームパッション,1,2024105621,8,4,3,3,1,,,,,,
202630071601,2026-07-16,1,イグレックリヤン,11,2024102175,9,12,12,11,8,,,,,,
202630071601,2026-07-16,1,マナラニアケア,10,2024102399,10,5,9,10,9,9,9,,,,
202630071601,2026-07-16,1,アンクルチャーリー,9,2024105521,11,11,11,9,7,9,4,,,,
202630071601,2026-07-16,1,ルナベレッツァ,5,2024107280,12,6,1,2,6,5,6,,,,
202630071602,2026-07-16,2,レラノア,11,2024105527,1,7,8,12,9,,,,,,
202630071602,2026-07-16,2,ケイキカーネ,9,2024108167,2,8,8,8,5,取,,,,,
202630071602,2026-07-16,2,リガンド,2,2024100373,3,5,2,2,1,2,4,,,,
202630071602,2026-07-16,2,カルリトス,3,2024101536,4,5,6,,,,,,,,
202630071602,2026-07-16,2,リヴァールミナス,1,2024102275,5,4,2,2,1,2,1,2,2,4,1
202630071602,2026-07-16,2,エカヒリオ,4,2024102188,6,4,5,,,,,,,,
202630071602,2026-07-16,2,ナーランガ,6,2024105803,7,2,3,,,,,,,,
202630071602,2026-07-16,2,リュウノゴウワン,7,2024109005,8,3,4,8,10,5,7,,,,
202630071602,2026-07-16,2,クリシュナラブリー,10,2024100052,9,2,8,8,9,6,8,,,,
202630071602,2026-07-16,2,トシデンセツ,5,2024100146,10,2,4,4,5,,,,,,
202630071602,2026-07-16,2,バンシイハーピー,8,2024100394,11,9,5,6,5,,,,,,
202630071603,2026-07-16,3,ディアスプリンター,6,2024103124,1,5,4,4,5,4,5,9,3,,
202630071603,2026-07-16,3,シャディアラ,1,2024105536,2,3,8,,,,,,,,
202630071603,2026-07-16,3,スターリーローラー,7,2024103325,3,6,3,4,4,3,7,,,,
202630071603,2026-07-16,3,ティンバリートス,4,2024106462,4,2,1,3,2,,,,,,
202630071603,2026-07-16,3,ライヴユアドリーム,2,2024105176,5,3,6,6,5,2,4,,,,
202630071603,2026-07-16,3,カストール,5,2024107126,6,1,1,6,6,,,,,,
202630071603,2026-07-16,3,リュウノマッスル,8,2024100174,7,6,2,1,1,2,2,2,2,取,
202630071603,2026-07-16,3,ベストメッセージ,9,2024101453,8,5,3,3,5,,,,,,
202630071603,2026-07-16,3,クラウンアウォーズ,3,2024105786,9,2,2,,,,,,,,
202630071604,2026-07-16,4,スズオリーブ,11,2017104231,1,4,10,13,13,11,12,9,11,7,11
202630071604,2026-07-16,4,プチビーンズ,10,2022100086,2,4,4,4,3,4,6,5,4,4,7
202630071604,2026-07-16,4,ポートエレン,1,2023100546,3,3,3,6,5,1,1,,,,
202630071604,2026-07-16,4,アミラジオネ,2,2022100043,4,3,1,8,6,5,4,8,5,9,6
202630071604,2026-07-16,4,ルックスライクパツ,6,2021101882,5,6,7,8,8,12,6,10,7,9,7
202630071604,2026-07-16,4,オカノティアラ,4,2023107174,6,6,6,3,9,1,2,2,3,7,4
202630071604,2026-07-16,4,オオイシアジサイ,9,2023102066,7,2,2,1,1,2,2,3,2,2,2
202630071604,2026-07-16,4,サンヨウコイノボリ,5,2023103200,8,5,2,1,1,4,2,2,4,5,5
202630071604,2026-07-16,4,スティールアンバー,3,2023100836,9,2,1,1,1,3,1,,,,
202630071604,2026-07-16,4,スイレンチャン,7,2022106084,10,3,8,7,6,10,8,9,9,10,5
202630071604,2026-07-16,4,ゴールデンアイル,8,2021101144,11,7,6,7,11,8,11,7,12,10,12
202630071604,2026-07-16,4,エイシンキャノピー,12,2022103164,12,7,7,10,11,9,9,11,11,10,10
202630071605,2026-07-16,5,エレシュトゥ,4,2024103150,1,,,,,,,,,,
202630071605,2026-07-16,5,サザンマキシム,取消,2024100402,2,,,,,,,,,,
202630071605,2026-07-16,5,ハンドクラップ,6,2024100549,3,,,,,,,,,,
202630071605,2026-07-16,5,ミサオ,2,2024105128,4,,,,,,,,,,
202630071605,2026-07-16,5,ドミネイト,5,2024104854,5,,,,,,,,,,
202630071605,2026-07-16,5,フレンドリーグリン,7,2024102483,6,,,,,,,,,,
202630071605,2026-07-16,5,カズドリーム,1,2024103787,7,,,,,,,,,,
202630071605,2026-07-16,5,アドミレリッチー,8,2024100938,8,,,,,,,,,,
202630071605,2026-07-16,5,パーフェクトナイト,3,2024102672,9,,,,,,,,,,
202630071606,2026-07-16,6,ブラビット,7,2024100961,1,,,,,,,,,,
202630071606,2026-07-16,6,ステラマームード,3,2024105000,2,,,,,,,,,,
202630071606,2026-07-16,6,リコーリベレーター,1,2024101249,3,,,,,,,,,,
202630071606,2026-07-16,6,アクタール,2,2024104906,4,,,,,,,,,,
202630071606,2026-07-16,6,ドルファティーガ,8,2024103873,5,,,,,,,,,,
202630071606,2026-07-16,6,ポコアポコ,5,2024107266,6,取,,,,,,,,,
202630071606,2026-07-16,6,トラブルメーカー,6,2024108158,7,,,,,,,,,,
202630071606,2026-07-16,6,サスラオウ,4,2024102772,8,,,,,,,,,,
202630071607,2026-07-16,7,レヴァンターセ,7,2023100107,1,7,1,除,,10,15,9,10,14,11
202630071607,2026-07-16,7,フックセンチョウ,4,2023104595,2,4,8,10,8,6,9,10,9,3,5
202630071607,2026-07-16,7,カネショウラッシュ,5,2022100307,3,4,5,5,8,7,10,7,7,11,8
202630071607,2026-07-16,7,キョウエイフレアー,6,2020104218,4,5,8,6,10,7,13,10,14,10,14
202630071607,2026-07-16,7,マルティネーテ,2,2020100373,5,3,1,4,3,2,2,3,8,8,6
202630071607,2026-07-16,7,カセノフォルス,1,2023101646,6,2,5,11,4,1,1,2,2,7,3
202630071607,2026-07-16,7,ダイヤノゴトク,3,2022105125,7,4,5,5,5,4,6,8,5,3,6
202630071608,2026-07-16,8,サンゼントカガヤク,1,2022104425,1,1,5,6,6,5,3,2,4,7,3
202630071608,2026-07-16,8,ガイストゼーゲン,2,2023101658,2,2,1,2,2,1,2,3,2,8,1
202630071608,2026-07-16,8,ユーライナー,7,2021107000,3,8,8,12,12,9,10,12,14,11,12
202630071608,2026-07-16,8,ウフフトルンナ,3,2021101193,4,7,1,1,1,1,1,1,1,1,1
