logic,label,period,BUY件数,的中率,本命勝率,回収率,ROI,平均オッズ,平均期待値,1レース期待値,最大連敗,ROI差_vs_OLD_full,ROI差_vs_OLD_holdout
OLD,旧ロジック,full,416,6.01,6.01,46.66,-53.34,17.42,117.4,117.4,58,0.0,0.0
OLD,旧ロジック,train,263,7.22,7.22,56.58,-43.42,18.26,117.11,117.11,58,0.0,0.0
OLD,旧ロジック,holdout,153,3.92,3.92,29.61,-70.39,15.98,117.91,117.91,38,0.0,0.0
NEW,現行新ロジック,full,417,7.19,7.19,52.85,-47.15,18.47,118.39,118.39,43,6.19,11.83
NEW,現行新ロジック,train,264,7.58,7.58,59.47,-40.53,19.55,118.08,118.08,43,6.19,11.83
NEW,現行新ロジック,holdout,153,6.54,6.54,41.44,-58.56,16.6,118.91,118.91,41,6.19,11.83
A,改善案A:コースのみ,full,418,6.22,6.22,45.17,-54.83,20.32,118.37,118.37,43,-1.49,6.66
A,改善案A:コースのみ,train,265,6.79,6.79,50.3,-49.7,22.19,118.12,118.12,43,-1.49,6.66
A,改善案A:コースのみ,holdout,153,5.23,5.23,36.27,-63.73,17.06,118.82,118.82,38,-1.49,6.66
B,改善案B:SIM実データ(スコア加点なし),full,418,6.46,6.46,46.0,-54.0,19.93,118.4,118.4,43,-0.66,6.66
B,改善案B:SIM実データ(スコア加点なし),train,265,7.17,7.17,51.62,-48.38,21.75,118.11,118.11,43,-0.66,6.66
B,改善案B:SIM実データ(スコア加点なし),holdout,153,5.23,5.23,36.27,-63.73,16.78,118.91,118.91,38,-0.66,6.66
C,改善案C:実データ+厳密detail,full,418,6.46,6.46,46.0,-54.0,19.63,118.39,118.39,43,-0.66,6.66
C,改善案C:実データ+厳密detail,train,265,7.17,7.17,51.62,-48.38,21.28,118.09,118.09,43,-0.66,6.66
C,改善案C:実データ+厳密detail,holdout,153,5.23,5.23,36.27,-63.73,16.78,118.92,118.92,38,-0.66,6.66
