特徴,label,grade,期間,BUY件数,的中率,平均オッズ,ROI,OLD_ROI,OLDとの差,holdout改善,欠損率,利用可能な馬の割合
OLD,本番旧（ガウスSIM・追加特徴OFF）,-,train,263,7.22,18.26,-43.42,-43.42,0.0,,0,100
OLD,本番旧（ガウスSIM・追加特徴OFF）,-,holdout,153,3.92,15.98,-70.39,-70.39,0.0,,0,100
OLD,本番旧（ガウスSIM・追加特徴OFF）,-,full,416,6.01,17.42,-53.34,-53.34,0.0,,0,100
TIME,旧+タイム（history_detail_bonus / ガウス維持）,B,train,264,6.82,16.95,-42.31,-43.42,1.11,,1.44,14.51
TIME,旧+タイム（history_detail_bonus / ガウス維持）,B,holdout,153,4.58,14.55,-70.07,-70.39,0.32,True,1.44,14.51
TIME,旧+タイム（history_detail_bonus / ガウス維持）,B,full,417,6.0,16.07,-52.49,-53.34,0.85,,1.44,14.51
MARGIN,旧+着差（history_detail_bonus / ガウス維持）,B,train,264,6.82,16.97,-42.31,-43.42,1.11,,3.79,13.26
MARGIN,旧+着差（history_detail_bonus / ガウス維持）,B,holdout,153,4.58,14.6,-70.07,-70.39,0.32,True,3.79,13.26
MARGIN,旧+着差（history_detail_bonus / ガウス維持）,B,full,417,6.0,16.1,-52.49,-53.34,0.85,,3.79,13.26
TRACK,旧+馬場（history_detail_bonus / ガウス維持）,B,train,264,6.82,17.02,-42.31,-43.42,1.11,,0.19,14.51
TRACK,旧+馬場（history_detail_bonus / ガウス維持）,B,holdout,153,5.23,14.39,-67.19,-70.39,3.2,True,0.19,14.51
TRACK,旧+馬場（history_detail_bonus / ガウス維持）,B,full,417,6.24,16.05,-51.44,-53.34,1.9,,0.19,14.51
WEIGHT,旧+馬体重変化（score_extras sweight）,C,train,264,6.82,16.96,-39.32,-43.42,4.1,,0.01,14.51
WEIGHT,旧+馬体重変化（score_extras sweight）,C,holdout,153,4.58,14.23,-72.94,-70.39,-2.55,False,0.01,14.51
WEIGHT,旧+馬体重変化（score_extras sweight）,C,full,417,6.0,15.96,-51.65,-53.34,1.69,,0.01,14.51
JOCKEY,旧+騎手複勝（score_extras sjockey）,C,train,264,8.33,15.78,-32.54,-43.42,10.88,,4.11,64.78
JOCKEY,旧+騎手複勝（score_extras sjockey）,C,holdout,153,3.92,14.81,-74.38,-70.39,-3.99,False,4.11,64.78
JOCKEY,旧+騎手複勝（score_extras sjockey）,C,full,417,6.71,15.43,-47.89,-53.34,5.45,,4.11,64.78
COURSE,旧+距離/コース適性（course_distance_fit を指数へ / ガウス維持）,B,train,263,7.98,15.51,-32.66,-43.42,10.76,,0.0,14.51
COURSE,旧+距離/コース適性（course_distance_fit を指数へ / ガウス維持）,B,holdout,153,4.58,14.56,-70.07,-70.39,0.32,True,0.0,14.51
COURSE,旧+距離/コース適性（course_distance_fit を指数へ / ガウス維持）,B,full,416,6.73,15.16,-46.42,-53.34,6.92,,0.0,14.51
HISTORY,旧+過去走6-8（着順/人気を履歴から拡張 / ガウス維持）,B,train,263,7.98,16.75,-29.7,-43.42,13.72,,0.54,12.88
HISTORY,旧+過去走6-8（着順/人気を履歴から拡張 / ガウス維持）,B,holdout,153,5.23,15.0,-66.99,-70.39,3.4,True,0.54,12.88
HISTORY,旧+過去走6-8（着順/人気を履歴から拡張 / ガウス維持）,B,full,416,6.97,16.11,-43.41,-53.34,9.93,,0.54,12.88
