logic,scope,BUY件数,的中率,平均オッズ,ROI,vs_OLD_pp,vs_NEW_pp,判定,holdout再現性
OLD,full,416,6.01,17.42,-53.34,0.0,-6.19,,
OLD,train,263,7.22,18.26,-43.42,0.0,-2.89,,
OLD,holdout,153,3.92,15.98,-70.39,0.0,-11.83,,
NEW,full,417,7.19,18.47,-47.15,6.19,0.0,,
NEW,train,264,7.58,19.55,-40.53,2.89,0.0,,
NEW,holdout,153,6.54,16.6,-58.56,11.83,0.0,,
SASHI_INNER,full,418,6.94,19.03,-48.73,4.61,-1.58,不採用,なし
SASHI_INNER,train,265,7.55,19.81,-39.7,3.72,0.83,不採用,なし
SASHI_INNER,holdout,153,5.88,17.68,-64.38,6.01,-5.82,不採用,なし
ODDS_INNER,full,417,6.95,20.14,-50.02,3.32,-2.87,不採用,なし
ODDS_INNER,train,264,7.2,21.21,-45.08,-1.66,-4.55,不採用,なし
ODDS_INNER,holdout,153,6.54,18.3,-58.56,11.83,0.0,不採用,なし
SASHI_SWEET,full,418,7.18,18.72,-48.85,4.49,-1.7,不採用,なし
SASHI_SWEET,train,265,7.55,19.77,-42.64,0.78,-2.11,不採用,なし
SASHI_SWEET,holdout,153,6.54,16.9,-59.61,10.78,-1.05,不採用,なし
