race_id,日付,レース,券種,組合せ,オッズ,人気
202602011001,2026-07-12,1,ワイド,'0102,168.4,53
202602011001,2026-07-12,1,ワイド,'0103,389.7,65
202602011001,2026-07-12,1,ワイド,'0104,40.1,29
202602011001,2026-07-12,1,ワイド,'0105,267.5,58
202602011001,2026-07-12,1,ワイド,'0106,18.4,20
202602011001,2026-07-12,1,ワイド,'0107,53.8,35
202602011001,2026-07-12,1,ワイド,'0108,385.3,64
202602011001,2026-07-12,1,ワイド,'0109,222.0,55
202602011001,2026-07-12,1,ワイド,'0110,108.4,46
202602011001,2026-07-12,1,ワイド,'0111,87.8,43
202602011001,2026-07-12,1,ワイド,'0112,61.6,38
202602011001,2026-07-12,1,ワイド,'0203,321.7,61
202602011001,2026-07-12,1,ワイド,'0204,22.7,22
202602011001,2026-07-12,1,ワイド,'0205,128.2,49
202602011001,2026-07-12,1,ワイド,'0206,8.6,10
202602011001,2026-07-12,1,ワイド,'0207,40.5,30
202602011001,2026-07-12,1,ワイド,'0208,329.4,62
202602011001,2026-07-12,1,ワイド,'0209,111.9,48
202602011001,2026-07-12,1,ワイド,'0210,78.0,41
202602011001,2026-07-12,1,ワイド,'0211,54.5,36
202602011001,2026-07-12,1,ワイド,'0212,31.2,25
202602011001,2026-07-12,1,ワイド,'0304,66.0,39
202602011001,2026-07-12,1,ワイド,'0305,380.6,63
202602011001,2026-07-12,1,ワイド,'0306,51.2,33
202602011001,2026-07-12,1,ワイド,'0307,108.4,47
202602011001,2026-07-12,1,ワイド,'0308,511.2,66
202602011001,2026-07-12,1,ワイド,'0309,278.0,60
202602011001,2026-07-12,1,ワイド,'0310,270.6,59
202602011001,2026-07-12,1,ワイド,'0311,260.6,57
202602011001,2026-07-12,1,ワイド,'0312,160.6,51
202602011001,2026-07-12,1,ワイド,'0405,22.1,21
202602011001,2026-07-12,1,ワイド,'0406,1.7,1
202602011001,2026-07-12,1,ワイド,'0407,2.8,3
202602011001,2026-07-12,1,ワイド,'0408,45.9,32
202602011001,2026-07-12,1,ワイド,'0409,12.0,16
202602011001,2026-07-12,1,ワイド,'0410,7.8,9
202602011001,2026-07-12,1,ワイド,'0411,8.9,12
202602011001,2026-07-12,1,ワイド,'0412,4.6,5
202602011001,2026-07-12,1,ワイド,'0506,10.4,13
202602011001,2026-07-12,1,ワイド,'0507,34.9,26
202602011001,2026-07-12,1,ワイド,'0508,259.7,56
202602011001,2026-07-12,1,ワイド,'0509,92.2,45
202602011001,2026-07-12,1,ワイド,'0510,82.9,42
202602011001,2026-07-12,1,ワイド,'0511,67.4,40
202602011001,2026-07-12,1,ワイド,'0512,41.7,31
202602011001,2026-07-12,1,ワイド,'0607,2.1,2
202602011001,2026-07-12,1,ワイド,'0608,34.9,27
202602011001,2026-07-12,1,ワイド,'0609,8.8,11
202602011001,2026-07-12,1,ワイド,'0610,6.9,8
202602011001,2026-07-12,1,ワイド,'0611,5.9,6
202602011001,2026-07-12,1,ワイド,'0612,3.3,4
202602011001,2026-07-12,1,ワイド,'0708,55.5,37
202602011001,2026-07-12,1,ワイド,'0709,17.2,19
202602011001,2026-07-12,1,ワイド,'0710,11.6,14
202602011001,2026-07-12,1,ワイド,'0711,13.5,18
202602011001,2026-07-12,1,ワイド,'0712,5.9,7
202602011001,2026-07-12,1,ワイド,'0809,134.8,50
202602011001,2026-07-12,1,ワイド,'0810,188.3,54
202602011001,2026-07-12,1,ワイド,'0811,168.4,52
202602011001,2026-07-12,1,ワイド,'0812,90.3,44
202602011001,2026-07-12,1,ワイド,'0910,39.7,28
202602011001,2026-07-12,1,ワイド,'0911,52.5,34
202602011001,2026-07-12,1,ワイド,'0912,26.8,24
202602011001,2026-07-12,1,ワイド,'1011,24.0,23
202602011001,2026-07-12,1,ワイド,'1012,11.9,15
202602011001,2026-07-12,1,ワイド,'1112,13.4,17
202602011001,2026-07-12,1,馬連,'0102,909.0,51
202602011001,2026-07-12,1,馬連,'0103,2201.0,63
202602011001,2026-07-12,1,馬連,'0104,169.8,26
202602011001,2026-07-12,1,馬連,'0105,1680.6,59
202602011001,2026-07-12,1,馬連,'0106,57.0,17
202602011001,2026-07-12,1,馬連,'0107,294.9,35
202602011001,2026-07-12,1,馬連,'0108,2852.6,66
202602011001,2026-07-12,1,馬連,'0109,1407.8,56
202602011001,2026-07-12,1,馬連,'0110,528.1,45
202602011001,2026-07-12,1,馬連,'0111,384.0,41
202602011001,2026-07-12,1,馬連,'0112,307.3,36
202602011001,2026-07-12,1,馬連,'0203,2045.3,61
202602011001,2026-07-12,1,馬連,'0204,96.7,21
202602011001,2026-07-12,1,馬連,'0205,846.8,50
202602011001,2026-07-12,1,馬連,'0206,38.6,12
202602011001,2026-07-12,1,馬連,'0207,233.4,31
202602011001,2026-07-12,1,馬連,'0208,2135.9,62
202602011001,2026-07-12,1,馬連,'0209,743.7,48
202602011001,2026-07-12,1,馬連,'0210,378.0,40
202602011001,2026-07-12,1,馬連,'0211,239.9,33
202602011001,2026-07-12,1,馬連,'0212,156.5,25
202602011001,2026-07-12,1,馬連,'0304,448.8,43
202602011001,2026-07-12,1,馬連,'0305,2435.9,64
202602011001,2026-07-12,1,馬連,'0306,225.1,30
202602011001,2026-07-12,1,馬連,'0307,698.2,47
202602011001,2026-07-12,1,馬連,'0308,2815.6,65
202602011001,2026-07-12,1,馬連,'0309,1521.4,58
202602011001,2026-07-12,1,馬連,'0310,1256.8,55
202602011001,2026-07-12,1,馬連,'0311,1440.5,57
202602011001,2026-07-12,1,馬連,'0312,652.0,46
202602011001,2026-07-12,1,馬連,'0405,122.2,22
202602011001,2026-07-12,1,馬連,'0406,3.6,1
202602011001,2026-07-12,1,馬連,'0407,9.9,4
202602011001,2026-07-12,1,馬連,'0408,281.0,34
202602011001,2026-07-12,1,馬連,'0409,72.5,19
202602011001,2026-07-12,1,馬連,'0410,25.6,8
202602011001,2026-07-12,1,馬連,'0411,34.7,10
202602011001,2026-07-12,1,馬連,'0412,19.0,6
202602011001,2026-07-12,1,馬連,'0506,42.7,15
202602011001,2026-07-12,1,馬連,'0507,224.3,29
202602011001,2026-07-12,1,馬連,'0508,1762.6,60
202602011001,2026-07-12,1,馬連,'0509,788.3,49
202602011001,2026-07-12,1,馬連,'0510,409.8,42
202602011001,2026-07-12,1,馬連,'0511,361.6,38
202602011001,2026-07-12,1,馬連,'0512,235.0,32
202602011001,2026-07-12,1,馬連,'0607,5.3,2
202602011001,2026-07-12,1,馬連,'0608,170.6,27
202602011001,2026-07-12,1,馬連,'0609,40.7,13
202602011001,2026-07-12,1,馬連,'0610,23.0,7
202602011001,2026-07-12,1,馬連,'0611,12.8,5
202602011001,2026-07-12,1,馬連,'0612,8.5,3
202602011001,2026-07-12,1,馬連,'0708,366.8,39
202602011001,2026-07-12,1,馬連,'0709,127.7,23
202602011001,2026-07-12,1,馬連,'0710,37.3,11
202602011001,2026-07-12,1,馬連,'0711,57.8,18
202602011001,2026-07-12,1,馬連,'0712,26.8,9
202602011001,2026-07-12,1,馬連,'0809,1057.5,53
202602011001,2026-07-12,1,馬連,'0810,955.0,52
202602011001,2026-07-12,1,馬連,'0811,1147.1,54
202602011001,2026-07-12,1,馬連,'0812,504.7,44
202602011001,2026-07-12,1,馬連,'0910,194.0,28
202602011001,2026-07-12,1,馬連,'0911,357.7,37
202602011001,2026-07-12,1,馬連,'0912,147.1,24
202602011001,2026-07-12,1,馬連,'1011,85.9,20
202602011001,2026-07-12,1,馬連,'1012,41.2,14
202602011001,2026-07-12,1,馬連,'1112,50.0,16
202602011001,2026-07-12,1,三連複,'010203,3983.6,176
202602011001,2026-07-12,1,三連複,'010204,954.2,110
202602011001,2026-07-12,1,三連複,'010205,4388.4,181
202602011001,2026-07-12,1,三連複,'010206,344.0,65
202602011001,2026-07-12,1,三連複,'010207,1746.0,139
202602011001,2026-07-12,1,三連複,'010208,12625.2,216
202602011001,2026-07-12,1,三連複,'010209,4165.6,177
202602011001,2026-07-12,1,三連複,'010210,3799.2,173
202602011001,2026-07-12,1,三連複,'010211,2292.2,152
202602011001,2026-07-12,1,三連複,'010212,1685.0,135
202602011001,2026-07-12,1,三連複,'010304,3335.9,168
202602011001,2026-07-12,1,三連複,'010305,7967.3,203
202602011001,2026-07-12,1,三連複,'010306,1738.6,138
202602011001,2026-07-12,1,三連複,'010307,3615.1,171
202602011001,2026-07-12,1,三連複,'010308,7815.6,201
202602011001,2026-07-12,1,三連複,'010309,10941.8,212
202602011001,2026-07-12,1,三連複,'010310,12068.2,214
202602011001,2026-07-12,1,三連複,'010311,12433.9,215
202602011001,2026-07-12,1,三連複,'010312,9018.0,207
202602011001,2026-07-12,1,三連複,'010405,1612.2,133
202602011001,2026-07-12,1,三連複,'010406,62.6,19
202602011001,2026-07-12,1,三連複,'010407,260.6,53
202602011001,2026-07-12,1,三連複,'010408,3269.4,167
202602011001,2026-07-12,1,三連複,'010409,1150.9,118
202602011001,2026-07-12,1,三連複,'010410,493.1,78
