feature,label,fill_pct,n,train_n,train_rho_resid,train_rho_hit,holdout_n,holdout_rho_resid,holdout_rho_hit,same_sign_both_splits,verifiable_for_prob
斤量,当日斤量,95.26,1867,1193,-0.0152,-0.0113,674,-0.0177,0.0126,False,False
斤量差,当日斤量−フィールド平均,95.26,1867,1193,-0.0882,-0.0465,674,-0.0231,0.0236,False,False
枠,枠番,96.33,1888,1214,-0.0413,0.0121,674,0.0956,0.1137,False,False
馬番,馬番,96.99,1901,1227,-0.0284,0.0073,674,0.096,0.0879,False,False
頭数,出走頭数,100.0,1960,1286,-0.0002,0.0135,674,0.0066,-0.0456,False,False
style,脚質代理,100.0,1960,1286,0.2205,-0.1122,674,0.1618,-0.1496,True,True
last_weight,前走馬体重,14.8,290,204,0.0429,0.0922,86,0.2346,0.1386,True,False
weight_delta,馬体重増減,14.8,290,204,0.018,-0.0229,86,-0.1137,-0.1168,False,False
last_time,前走タイム秒,14.8,290,204,0.0756,0.1372,86,-0.1299,-0.189,False,False
last_kg,前走斤量,13.88,272,187,-0.0354,-0.0335,85,0.0242,0.0733,False,False
last_heads,前走頭数,15.0,294,206,-0.0614,-0.0632,88,-0.0691,-0.1106,True,False
last_dist,前走距離,15.0,294,206,0.0331,0.1198,88,-0.1338,-0.1512,False,False
last_finish,前走着順,14.8,290,204,0.1291,-0.0925,86,0.1526,-0.167,True,False
last_pop,前走人気,14.74,289,203,0.16,-0.2124,86,0.2051,-0.2594,True,False
margin_tight,前走着差タイトさ,100.0,1960,1286,-0.0199,-0.0235,674,-0.0003,-0.0104,False,False
layoff,休み明け日数,15.0,294,206,0.0347,-0.0289,88,0.0386,0.0567,False,False
jockey_wr_excess,騎手勝率超過（train推定）,100.0,1960,1286,-0.0168,0.2527,674,-0.0745,0.1391,False,False
人気,当日人気（対照・既使用）,96.43,1890,1216,0.4155,-0.3362,674,0.4155,-0.3373,True,True
odds,当日オッズ（対照・既使用）,100.0,1960,1286,0.4262,-0.3735,674,0.403,-0.3808,True,True
sim_pct,SIM勝率（対照・既使用）,100.0,1960,1286,-0.3316,0.2529,674,-0.4212,0.2893,True,True
